id,disbursed,months,rate1,change_period,rate2,n_periods,total_principal,total_interest,final_balance
d1000_m12_r9.99_cp3_r5,1000.00,12,9.99,3,5,12,1000.00,38.88,0.00
d1000_m12_r9.99_cp3_r24,1000.00,12,9.99,3,24,12,1000.00,100.89,0.00
d1000_m12_r9.99_cp6_r5,1000.00,12,9.99,6,5,12,1000.00,47.40,0.00
d1000_m12_r9.99_cp6_r24,1000.00,12,9.99,6,24,12,1000.00,76.36,0.00
d1000_m12_r18_cp3_r5,1000.00,12,18,3,5,12,1000.00,57.57,0.00
d1000_m12_r18_cp3_r24,1000.00,12,18,3,24,12,1000.00,120.21,0.00
d1000_m12_r18_cp6_r5,1000.00,12,18,6,5,12,1000.00,80.04,0.00
d1000_m12_r18_cp6_r24,1000.00,12,18,6,24,12,1000.00,109.56,0.00
d1000_m24_r9.99_cp3_r5,1000.00,24,9.99,3,5,24,1000.00,65.19,0.00
d1000_m24_r9.99_cp3_r24,1000.00,24,9.99,3,24,24,1000.00,231.70,0.00
d1000_m24_r9.99_cp6_r5,1000.00,24,9.99,6,5,24,1000.00,75.92,0.00
d1000_m24_r9.99_cp6_r24,1000.00,24,9.99,6,24,24,1000.00,199.33,0.00
d1000_m24_r18_cp3_r5,1000.00,24,18,3,5,24,1000.00,84.95,0.00
d1000_m24_r18_cp3_r24,1000.00,24,18,3,24,24,1000.00,252.97,0.00
d1000_m24_r18_cp6_r5,1000.00,24,18,6,5,24,1000.00,113.32,0.00
d1000_m24_r18_cp6_r24,1000.00,24,18,6,24,24,1000.00,239.00,0.00
d5000_m12_r9.99_cp3_r5,5000.00,12,9.99,3,5,12,5000.00,194.43,0.00
d5000_m12_r9.99_cp3_r24,5000.00,12,9.99,3,24,12,5000.00,504.53,0.00
d5000_m12_r9.99_cp6_r5,5000.00,12,9.99,6,5,12,5000.00,236.99,0.00
d5000_m12_r9.99_cp6_r24,5000.00,12,9.99,6,24,12,5000.00,381.79,0.00
d5000_m12_r18_cp3_r5,5000.00,12,18,3,5,12,5000.00,287.94,0.00
d5000_m12_r18_cp3_r24,5000.00,12,18,3,24,12,5000.00,601.02,0.00
d5000_m12_r18_cp6_r5,5000.00,12,18,6,5,12,5000.00,400.20,0.00
d5000_m12_r18_cp6_r24,5000.00,12,18,6,24,12,5000.00,547.81,0.00
d5000_m24_r9.99_cp3_r5,5000.00,24,9.99,3,5,24,5000.00,325.90,0.00
d5000_m24_r9.99_cp3_r24,5000.00,24,9.99,3,24,24,5000.00,1158.41,0.00
d5000_m24_r9.99_cp6_r5,5000.00,24,9.99,6,5,24,5000.00,379.71,0.00
d5000_m24_r9.99_cp6_r24,5000.00,24,9.99,6,24,24,5000.00,996.62,0.00
d5000_m24_r18_cp3_r5,5000.00,24,18,3,5,24,5000.00,424.73,0.00
d5000_m24_r18_cp3_r24,5000.00,24,18,3,24,24,5000.00,1264.82,0.00
d5000_m24_r18_cp6_r5,5000.00,24,18,6,5,24,5000.00,566.58,0.00
d5000_m24_r18_cp6_r24,5000.00,24,18,6,24,24,5000.00,1194.82,0.00
