id,disbursed,annualRatePercent,months,n_periods,total_principal,total_interest,final_balance
d100_r0_m1,100.00,0,1,1,100.00,0.00,0.00
d100_r0_m2,100.00,0,2,2,100.00,0.00,0.00
d100_r0_m3,100.00,0,3,3,100.00,0.00,0.00
d100_r0_m6,100.00,0,6,6,100.00,0.00,0.00
d100_r0_m12,100.00,0,12,12,100.00,0.00,0.00
d100_r0_m24,100.00,0,24,24,100.00,0.00,0.00
d100_r5_m1,100.00,5,1,1,100.00,0.41,0.00
d100_r5_m2,100.00,5,2,2,100.00,0.62,0.00
d100_r5_m3,100.00,5,3,3,100.00,0.83,0.00
d100_r5_m6,100.00,5,6,6,100.00,1.45,0.00
d100_r5_m12,100.00,5,12,12,100.00,2.70,0.00
d100_r5_m24,100.00,5,24,24,100.00,5.24,0.00
d100_r9.99_m1,100.00,9.99,1,1,100.00,0.82,0.00
d100_r9.99_m2,100.00,9.99,2,2,100.00,1.23,0.00
d100_r9.99_m3,100.00,9.99,3,3,100.00,1.65,0.00
d100_r9.99_m6,100.00,9.99,6,6,100.00,2.90,0.00
d100_r9.99_m12,100.00,9.99,12,12,100.00,5.42,0.00
d100_r9.99_m24,100.00,9.99,24,24,100.00,10.62,0.00
d100_r18_m1,100.00,18,1,1,100.00,1.48,0.00
d100_r18_m2,100.00,18,2,2,100.00,2.23,0.00
d100_r18_m3,100.00,18,3,3,100.00,2.98,0.00
d100_r18_m6,100.00,18,6,6,100.00,5.26,0.00
d100_r18_m12,100.00,18,12,12,100.00,9.92,0.00
d100_r18_m24,100.00,18,24,24,100.00,19.63,0.00
d100_r24_m1,100.00,24,1,1,100.00,1.98,0.00
d100_r24_m2,100.00,24,2,2,100.00,2.98,0.00
d100_r24_m3,100.00,24,3,3,100.00,3.98,0.00
d100_r24_m6,100.00,24,6,6,100.00,7.06,0.00
d100_r24_m12,100.00,24,12,12,100.00,13.32,0.00
d100_r24_m24,100.00,24,24,24,100.00,26.56,0.00
d1000_r0_m1,1000.00,0,1,1,1000.00,0.00,0.00
d1000_r0_m2,1000.00,0,2,2,1000.00,0.00,0.00
d1000_r0_m3,1000.00,0,3,3,1000.00,0.00,0.00
d1000_r0_m6,1000.00,0,6,6,1000.00,0.00,0.00
d1000_r0_m12,1000.00,0,12,12,1000.00,0.00,0.00
d1000_r0_m24,1000.00,0,24,24,1000.00,0.00,0.00
d1000_r5_m1,1000.00,5,1,1,1000.00,4.12,0.00
d1000_r5_m2,1000.00,5,2,2,1000.00,6.19,0.00
d1000_r5_m3,1000.00,5,3,3,1000.00,8.26,0.00
d1000_r5_m6,1000.00,5,6,6,1000.00,14.48,0.00
d1000_r5_m12,1000.00,5,12,12,1000.00,27.00,0.00
d1000_r5_m24,1000.00,5,24,24,1000.00,52.37,0.00
d1000_r9.99_m1,1000.00,9.99,1,1,1000.00,8.24,0.00
d1000_r9.99_m2,1000.00,9.99,2,2,1000.00,12.38,0.00
d1000_r9.99_m3,1000.00,9.99,3,3,1000.00,16.53,0.00
d1000_r9.99_m6,1000.00,9.99,6,6,1000.00,29.04,0.00
d1000_r9.99_m12,1000.00,9.99,12,12,1000.00,54.38,0.00
d1000_r9.99_m24,1000.00,9.99,24,24,1000.00,106.26,0.00
d1000_r18_m1,1000.00,18,1,1,1000.00,14.85,0.00
d1000_r18_m2,1000.00,18,2,2,1000.00,22.33,0.00
d1000_r18_m3,1000.00,18,3,3,1000.00,29.84,0.00
d1000_r18_m6,1000.00,18,6,6,1000.00,52.63,0.00
d1000_r18_m12,1000.00,18,12,12,1000.00,99.13,0.00
d1000_r18_m24,1000.00,18,24,24,1000.00,196.07,0.00
d1000_r24_m1,1000.00,24,1,1,1000.00,19.80,0.00
d1000_r24_m2,1000.00,24,2,2,1000.00,29.80,0.00
d1000_r24_m3,1000.00,24,3,3,1000.00,39.86,0.00
d1000_r24_m6,1000.00,24,6,6,1000.00,70.43,0.00
d1000_r24_m12,1000.00,24,12,12,1000.00,133.31,0.00
d1000_r24_m24,1000.00,24,24,24,1000.00,266.02,0.00
d5000_r0_m1,5000.00,0,1,1,5000.00,0.00,0.00
d5000_r0_m2,5000.00,0,2,2,5000.00,0.00,0.00
d5000_r0_m3,5000.00,0,3,3,5000.00,0.00,0.00
d5000_r0_m6,5000.00,0,6,6,5000.00,0.00,0.00
d5000_r0_m12,5000.00,0,12,12,5000.00,0.00,0.00
d5000_r0_m24,5000.00,0,24,24,5000.00,0.00,0.00
d5000_r5_m1,5000.00,5,1,1,5000.00,20.62,0.00
d5000_r5_m2,5000.00,5,2,2,5000.00,30.95,0.00
d5000_r5_m3,5000.00,5,3,3,5000.00,41.30,0.00
d5000_r5_m6,5000.00,5,6,6,5000.00,72.43,0.00
d5000_r5_m12,5000.00,5,12,12,5000.00,135.06,0.00
d5000_r5_m24,5000.00,5,24,24,5000.00,261.88,0.00
d5000_r9.99_m1,5000.00,9.99,1,1,5000.00,41.21,0.00
d5000_r9.99_m2,5000.00,9.99,2,2,5000.00,61.90,0.00
d5000_r9.99_m3,5000.00,9.99,3,3,5000.00,82.65,0.00
d5000_r9.99_m6,5000.00,9.99,6,6,5000.00,145.22,0.00
d5000_r9.99_m12,5000.00,9.99,12,12,5000.00,271.89,0.00
d5000_r9.99_m24,5000.00,9.99,24,24,5000.00,531.32,0.00
d5000_r18_m1,5000.00,18,1,1,5000.00,74.25,0.00
d5000_r18_m2,5000.00,18,2,2,5000.00,111.65,0.00
d5000_r18_m3,5000.00,18,3,3,5000.00,149.23,0.00
d5000_r18_m6,5000.00,18,6,6,5000.00,263.08,0.00
d5000_r18_m12,5000.00,18,12,12,5000.00,495.65,0.00
d5000_r18_m24,5000.00,18,24,24,5000.00,980.42,0.00
d5000_r24_m1,5000.00,24,1,1,5000.00,99.00,0.00
d5000_r24_m2,5000.00,24,2,2,5000.00,148.99,0.00
d5000_r24_m3,5000.00,24,3,3,5000.00,199.29,0.00
d5000_r24_m6,5000.00,24,6,6,5000.00,352.17,0.00
d5000_r24_m12,5000.00,24,12,12,5000.00,666.61,0.00
d5000_r24_m24,5000.00,24,24,24,5000.00,1330.15,0.00
d12345.67_r0_m1,12345.67,0,1,1,12345.67,0.00,0.00
d12345.67_r0_m2,12345.67,0,2,2,12345.67,0.00,0.00
d12345.67_r0_m3,12345.67,0,3,3,12345.67,0.00,0.00
d12345.67_r0_m6,12345.67,0,6,6,12345.67,0.00,0.00
d12345.67_r0_m12,12345.67,0,12,12,12345.67,0.00,0.00
d12345.67_r0_m24,12345.67,0,24,24,12345.67,0.00,0.00
d12345.67_r5_m1,12345.67,5,1,1,12345.67,50.93,0.00
d12345.67_r5_m2,12345.67,5,2,2,12345.67,76.45,0.00
d12345.67_r5_m3,12345.67,5,3,3,12345.67,102.00,0.00
d12345.67_r5_m6,12345.67,5,6,6,12345.67,178.87,0.00
d12345.67_r5_m12,12345.67,5,12,12,12345.67,333.53,0.00
d12345.67_r5_m24,12345.67,5,24,24,12345.67,646.63,0.00
d12345.67_r9.99_m1,12345.67,9.99,1,1,12345.67,101.75,0.00
d12345.67_r9.99_m2,12345.67,9.99,2,2,12345.67,152.83,0.00
d12345.67_r9.99_m3,12345.67,9.99,3,3,12345.67,204.06,0.00
d12345.67_r9.99_m6,12345.67,9.99,6,6,12345.67,358.56,0.00
d12345.67_r9.99_m12,12345.67,9.99,12,12,12345.67,671.33,0.00
d12345.67_r9.99_m24,12345.67,9.99,24,24,12345.67,1311.86,0.00
d12345.67_r18_m1,12345.67,18,1,1,12345.67,183.33,0.00
d12345.67_r18_m2,12345.67,18,2,2,12345.67,275.67,0.00
d12345.67_r18_m3,12345.67,18,3,3,12345.67,368.46,0.00
d12345.67_r18_m6,12345.67,18,6,6,12345.67,649.53,0.00
d12345.67_r18_m12,12345.67,18,12,12,12345.67,1223.85,0.00
d12345.67_r18_m24,12345.67,18,24,24,12345.67,2420.89,0.00
d12345.67_r24_m1,12345.67,24,1,1,12345.67,244.44,0.00
d12345.67_r24_m2,12345.67,24,2,2,12345.67,367.86,0.00
d12345.67_r24_m3,12345.67,24,3,3,12345.67,492.08,0.00
d12345.67_r24_m6,12345.67,24,6,6,12345.67,869.53,0.00
d12345.67_r24_m12,12345.67,24,12,12,12345.67,1645.94,0.00
d12345.67_r24_m24,12345.67,24,24,24,12345.67,3284.35,0.00
d999999.99_r0_m1,999999.99,0,1,1,999999.99,0.00,0.00
d999999.99_r0_m2,999999.99,0,2,2,999999.99,0.00,0.00
d999999.99_r0_m3,999999.99,0,3,3,999999.99,0.00,0.00
d999999.99_r0_m6,999999.99,0,6,6,999999.99,0.00,0.00
d999999.99_r0_m12,999999.99,0,12,12,999999.99,0.00,0.00
d999999.99_r0_m24,999999.99,0,24,24,999999.99,0.00,0.00
d999999.99_r5_m1,999999.99,5,1,1,999999.99,4125.00,0.00
d999999.99_r5_m2,999999.99,5,2,2,999999.99,6191.75,0.00
d999999.99_r5_m3,999999.99,5,3,3,999999.99,8261.32,0.00
d999999.99_r5_m6,999999.99,5,6,6,999999.99,14487.03,0.00
d999999.99_r5_m12,999999.99,5,12,12,999999.99,27014.85,0.00
d999999.99_r5_m24,999999.99,5,24,24,999999.99,52376.03,0.00
d999999.99_r9.99_m1,999999.99,9.99,1,1,999999.99,8241.75,0.00
d999999.99_r9.99_m2,999999.99,9.99,2,2,999999.99,12379.54,0.00
d999999.99_r9.99_m3,999999.99,9.99,3,3,999999.99,16528.60,0.00
d999999.99_r9.99_m6,999999.99,9.99,6,6,999999.99,29043.42,0.00
d999999.99_r9.99_m12,999999.99,9.99,12,12,999999.99,54377.39,0.00
d999999.99_r9.99_m24,999999.99,9.99,24,24,999999.99,106261.22,0.00
d999999.99_r18_m1,999999.99,18,1,1,999999.99,14850.00,0.00
d999999.99_r18_m2,999999.99,18,2,2,999999.99,22329.72,0.00
d999999.99_r18_m3,999999.99,18,3,3,999999.99,29845.93,0.00
d999999.99_r18_m6,999999.99,18,6,6,999999.99,52613.38,0.00
d999999.99_r18_m12,999999.99,18,12,12,999999.99,99132.20,0.00
d999999.99_r18_m24,999999.99,18,24,24,999999.99,196092.17,0.00
