id,disbursed,annualRatePercent,months,n_periods,total_principal,total_interest,final_balance
d100_r0_m1,100.00,0,1,1,100.00,0.00,0.00
d100_r0_m2,100.00,0,2,2,100.00,0.00,0.00
d100_r0_m3,100.00,0,3,3,100.00,0.00,0.00
d100_r0_m6,100.00,0,6,6,100.00,0.00,0.00
d100_r0_m12,100.00,0,12,12,100.00,0.00,0.00
d100_r0_m24,100.00,0,24,24,100.00,0.00,0.00
d100_r5_m1,100.00,5,1,1,100.00,0.42,0.00
d100_r5_m2,100.00,5,2,2,100.00,0.63,0.00
d100_r5_m3,100.00,5,3,3,100.00,0.84,0.00
d100_r5_m6,100.00,5,6,6,100.00,1.47,0.00
d100_r5_m12,100.00,5,12,12,100.00,2.74,0.00
d100_r5_m24,100.00,5,24,24,100.00,5.30,0.00
d100_r9.99_m1,100.00,9.99,1,1,100.00,0.83,0.00
d100_r9.99_m2,100.00,9.99,2,2,100.00,1.25,0.00
d100_r9.99_m3,100.00,9.99,3,3,100.00,1.67,0.00
d100_r9.99_m6,100.00,9.99,6,6,100.00,2.93,0.00
d100_r9.99_m12,100.00,9.99,12,12,100.00,5.50,0.00
d100_r9.99_m24,100.00,9.99,24,24,100.00,10.75,0.00
d100_r18_m1,100.00,18,1,1,100.00,1.50,0.00
d100_r18_m2,100.00,18,2,2,100.00,2.26,0.00
d100_r18_m3,100.00,18,3,3,100.00,3.02,0.00
d100_r18_m6,100.00,18,6,6,100.00,5.32,0.00
d100_r18_m12,100.00,18,12,12,100.00,10.02,0.00
d100_r18_m24,100.00,18,24,24,100.00,19.83,0.00
d100_r24_m1,100.00,24,1,1,100.00,2.00,0.00
d100_r24_m2,100.00,24,2,2,100.00,3.01,0.00
d100_r24_m3,100.00,24,3,3,100.00,4.03,0.00
d100_r24_m6,100.00,24,6,6,100.00,7.11,0.00
d100_r24_m12,100.00,24,12,12,100.00,13.45,0.00
d100_r24_m24,100.00,24,24,24,100.00,26.86,0.00
d1000_r0_m1,1000.00,0,1,1,1000.00,0.00,0.00
d1000_r0_m2,1000.00,0,2,2,1000.00,0.00,0.00
d1000_r0_m3,1000.00,0,3,3,1000.00,0.00,0.00
d1000_r0_m6,1000.00,0,6,6,1000.00,0.00,0.00
d1000_r0_m12,1000.00,0,12,12,1000.00,0.00,0.00
d1000_r0_m24,1000.00,0,24,24,1000.00,0.00,0.00
d1000_r5_m1,1000.00,5,1,1,1000.00,4.17,0.00
d1000_r5_m2,1000.00,5,2,2,1000.00,6.26,0.00
d1000_r5_m3,1000.00,5,3,3,1000.00,8.34,0.00
d1000_r5_m6,1000.00,5,6,6,1000.00,14.64,0.00
d1000_r5_m12,1000.00,5,12,12,1000.00,27.30,0.00
d1000_r5_m24,1000.00,5,24,24,1000.00,52.90,0.00
d1000_r9.99_m1,1000.00,9.99,1,1,1000.00,8.33,0.00
d1000_r9.99_m2,1000.00,9.99,2,2,1000.00,12.51,0.00
d1000_r9.99_m3,1000.00,9.99,3,3,1000.00,16.70,0.00
d1000_r9.99_m6,1000.00,9.99,6,6,1000.00,29.35,0.00
d1000_r9.99_m12,1000.00,9.99,12,12,1000.00,54.95,0.00
d1000_r9.99_m24,1000.00,9.99,24,24,1000.00,107.37,0.00
d1000_r18_m1,1000.00,18,1,1,1000.00,15.00,0.00
d1000_r18_m2,1000.00,18,2,2,1000.00,22.56,0.00
d1000_r18_m3,1000.00,18,3,3,1000.00,30.14,0.00
d1000_r18_m6,1000.00,18,6,6,1000.00,53.15,0.00
d1000_r18_m12,1000.00,18,12,12,1000.00,100.14,0.00
d1000_r18_m24,1000.00,18,24,24,1000.00,198.19,0.00
d1000_r24_m1,1000.00,24,1,1,1000.00,20.00,0.00
d1000_r24_m2,1000.00,24,2,2,1000.00,30.10,0.00
d1000_r24_m3,1000.00,24,3,3,1000.00,40.26,0.00
d1000_r24_m6,1000.00,24,6,6,1000.00,71.16,0.00
d1000_r24_m12,1000.00,24,12,12,1000.00,134.70,0.00
d1000_r24_m24,1000.00,24,24,24,1000.00,268.90,0.00
d5000_r0_m1,5000.00,0,1,1,5000.00,0.00,0.00
d5000_r0_m2,5000.00,0,2,2,5000.00,0.00,0.00
d5000_r0_m3,5000.00,0,3,3,5000.00,0.00,0.00
d5000_r0_m6,5000.00,0,6,6,5000.00,0.00,0.00
d5000_r0_m12,5000.00,0,12,12,5000.00,0.00,0.00
d5000_r0_m24,5000.00,0,24,24,5000.00,0.00,0.00
d5000_r5_m1,5000.00,5,1,1,5000.00,20.83,0.00
d5000_r5_m2,5000.00,5,2,2,5000.00,31.27,0.00
d5000_r5_m3,5000.00,5,3,3,5000.00,41.72,0.00
d5000_r5_m6,5000.00,5,6,6,5000.00,73.17,0.00
d5000_r5_m12,5000.00,5,12,12,5000.00,136.45,0.00
d5000_r5_m24,5000.00,5,24,24,5000.00,264.56,0.00
d5000_r9.99_m1,5000.00,9.99,1,1,5000.00,41.62,0.00
d5000_r9.99_m2,5000.00,9.99,2,2,5000.00,62.52,0.00
d5000_r9.99_m3,5000.00,9.99,3,3,5000.00,83.47,0.00
d5000_r9.99_m6,5000.00,9.99,6,6,5000.00,146.69,0.00
d5000_r9.99_m12,5000.00,9.99,12,12,5000.00,274.67,0.00
d5000_r9.99_m24,5000.00,9.99,24,24,5000.00,536.85,0.00
d5000_r18_m1,5000.00,18,1,1,5000.00,75.00,0.00
d5000_r18_m2,5000.00,18,2,2,5000.00,112.78,0.00
d5000_r18_m3,5000.00,18,3,3,5000.00,150.74,0.00
d5000_r18_m6,5000.00,18,6,6,5000.00,265.76,0.00
d5000_r18_m12,5000.00,18,12,12,5000.00,500.79,0.00
d5000_r18_m24,5000.00,18,24,24,5000.00,990.87,0.00
d5000_r24_m1,5000.00,24,1,1,5000.00,100.00,0.00
d5000_r24_m2,5000.00,24,2,2,5000.00,150.50,0.00
d5000_r24_m3,5000.00,24,3,3,5000.00,201.32,0.00
d5000_r24_m6,5000.00,24,6,6,5000.00,355.77,0.00
d5000_r24_m12,5000.00,24,12,12,5000.00,673.58,0.00
d5000_r24_m24,5000.00,24,24,24,5000.00,1344.55,0.00
d12345.67_r0_m1,12345.67,0,1,1,12345.67,0.00,0.00
d12345.67_r0_m2,12345.67,0,2,2,12345.67,0.00,0.00
d12345.67_r0_m3,12345.67,0,3,3,12345.67,0.00,0.00
d12345.67_r0_m6,12345.67,0,6,6,12345.67,0.00,0.00
d12345.67_r0_m12,12345.67,0,12,12,12345.67,0.00,0.00
d12345.67_r0_m24,12345.67,0,24,24,12345.67,0.00,0.00
d12345.67_r5_m1,12345.67,5,1,1,12345.67,51.44,0.00
d12345.67_r5_m2,12345.67,5,2,2,12345.67,77.21,0.00
d12345.67_r5_m3,12345.67,5,3,3,12345.67,103.02,0.00
d12345.67_r5_m6,12345.67,5,6,6,12345.67,180.67,0.00
d12345.67_r5_m12,12345.67,5,12,12,12345.67,336.91,0.00
d12345.67_r5_m24,12345.67,5,24,24,12345.67,653.25,0.00
d12345.67_r9.99_m1,12345.67,9.99,1,1,12345.67,102.78,0.00
d12345.67_r9.99_m2,12345.67,9.99,2,2,12345.67,154.38,0.00
d12345.67_r9.99_m3,12345.67,9.99,3,3,12345.67,206.12,0.00
d12345.67_r9.99_m6,12345.67,9.99,6,6,12345.67,362.21,0.00
d12345.67_r9.99_m12,12345.67,9.99,12,12,12345.67,678.21,0.00
d12345.67_r9.99_m24,12345.67,9.99,24,24,12345.67,1325.52,0.00
d12345.67_r18_m1,12345.67,18,1,1,12345.67,185.19,0.00
d12345.67_r18_m2,12345.67,18,2,2,12345.67,278.47,0.00
d12345.67_r18_m3,12345.67,18,3,3,12345.67,372.21,0.00
d12345.67_r18_m6,12345.67,18,6,6,12345.67,656.20,0.00
d12345.67_r18_m12,12345.67,18,12,12,12345.67,1236.55,0.00
d12345.67_r18_m24,12345.67,18,24,24,12345.67,2446.64,0.00
d12345.67_r24_m1,12345.67,24,1,1,12345.67,246.91,0.00
d12345.67_r24_m2,12345.67,24,2,2,12345.67,371.59,0.00
d12345.67_r24_m3,12345.67,24,3,3,12345.67,497.08,0.00
d12345.67_r24_m6,12345.67,24,6,6,12345.67,878.45,0.00
d12345.67_r24_m12,12345.67,24,12,12,12345.67,1663.14,0.00
d12345.67_r24_m24,12345.67,24,24,24,12345.67,3319.81,0.00
d999999.99_r0_m1,999999.99,0,1,1,999999.99,0.00,0.00
d999999.99_r0_m2,999999.99,0,2,2,999999.99,0.00,0.00
d999999.99_r0_m3,999999.99,0,3,3,999999.99,0.00,0.00
d999999.99_r0_m6,999999.99,0,6,6,999999.99,0.00,0.00
d999999.99_r0_m12,999999.99,0,12,12,999999.99,0.00,0.00
d999999.99_r0_m24,999999.99,0,24,24,999999.99,0.00,0.00
d999999.99_r5_m1,999999.99,5,1,1,999999.99,4166.67,0.00
d999999.99_r5_m2,999999.99,5,2,2,999999.99,6254.33,0.00
d999999.99_r5_m3,999999.99,5,3,3,999999.99,8344.89,0.00
d999999.99_r5_m6,999999.99,5,6,6,999999.99,14633.86,0.00
d999999.99_r5_m12,999999.99,5,12,12,999999.99,27289.78,0.00
d999999.99_r5_m24,999999.99,5,24,24,999999.99,52913.36,0.00
d999999.99_r9.99_m1,999999.99,9.99,1,1,999999.99,8325.00,0.00
d999999.99_r9.99_m2,999999.99,9.99,2,2,999999.99,12504.75,0.00
d999999.99_r9.99_m3,999999.99,9.99,3,3,999999.99,16696.01,0.00
d999999.99_r9.99_m6,999999.99,9.99,6,6,999999.99,29338.80,0.00
d999999.99_r9.99_m12,999999.99,9.99,12,12,999999.99,54934.83,0.00
d999999.99_r9.99_m24,999999.99,9.99,24,24,999999.99,107367.47,0.00
d999999.99_r18_m1,999999.99,18,1,1,999999.99,15000.00,0.00
d999999.99_r18_m2,999999.99,18,2,2,999999.99,22555.83,0.00
d999999.99_r18_m3,999999.99,18,3,3,999999.99,30148.88,0.00
d999999.99_r18_m6,999999.99,18,6,6,999999.99,53151.29,0.00
d999999.99_r18_m12,999999.99,18,12,12,999999.99,100159.91,0.00
d999999.99_r18_m24,999999.99,18,24,24,999999.99,198178.46,0.00
